YEAR,MO,DY,HR,WD10M,T2M,RH2M,QV2M,T2MDEW,U10M,PS,T2MWET,WS10M,V10M,PRECTOTCORR
2021,1,2,0,335.09,-3.56,99.88,2.93,-3.92,1.88,95.67,-3.74,4.47,-4.05,0.01
2021,1,2,1,335.34,-3.75,99.56,2.87,-4.17,1.93,95.66,-3.95,4.62,-4.2,0.01
2021,1,2,2,335.5,-3.84,99.12,2.87,-4.32,2.02,95.63,-4.08,4.86,-4.42,0.01
2021,1,2,3,338.35,-3.63,98.19,2.87,-4.21,1.98,95.6,-3.92,5.38,-5.0,0.01
2021,1,2,4,335.92,-3.38,97.75,2.93,-4.02,2.27,95.58,-3.7,5.57,-5.09,0.01
2021,1,2,5,334.19,-3.35,97.88,2.93,-3.96,2.52,95.58,-3.66,5.8,-5.22,0.01
2021,1,2,6,334.3,-3.42,98.19,2.93,-3.99,2.5,95.6,-3.7,5.77,-5.2,0.01
2021,1,2,7,334.88,-3.27,98.0,2.99,-3.86,2.59,95.64,-3.56,6.11,-5.53,0.01
2021,1,2,8,336.97,-2.45,95.88,3.11,-3.27,2.73,95.65,-2.86,6.97,-6.41,0.01
2021,1,2,9,342.16,-1.38,93.31,3.3,-2.43,2.33,95.64,-1.91,7.6,-7.23,0.01
2021,1,2,10,346.81,-0.24,90.44,3.54,-1.61,1.82,95.63,-0.92,7.98,-7.77,0.01
2021,1,2,11,348.79,0.65,88.25,3.66,-1.03,1.55,95.6,-0.19,7.96,-7.8,0.01
2021,1,2,12,348.29,1.09,86.94,3.72,-0.81,1.61,95.56,0.14,7.93,-7.77,0.01
2021,1,2,13,345.94,1.14,87.25,3.78,-0.72,1.9,95.54,0.21,7.81,-7.58,0.01
2021,1,2,14,342.53,0.87,89.12,3.78,-0.7,2.28,95.56,0.08,7.6,-7.25,0.01
2021,1,2,15,340.08,0.17,91.81,3.72,-0.98,2.46,95.58,-0.4,7.22,-6.79,0.01
2021,1,2,16,337.73,-0.7,94.56,3.54,-1.53,2.63,95.61,-1.12,6.95,-6.43,0.01
2021,1,2,17,338.4,-1.12,94.69,3.42,-1.97,2.67,95.64,-1.54,7.26,-6.75,0.02
2021,1,2,18,336.46,-1.48,95.56,3.36,-2.24,2.77,95.67,-1.86,6.95,-6.37,0.03
2021,1,2,19,331.44,-1.85,96.5,3.3,-2.52,3.12,95.69,-2.19,6.54,-5.74,0.03
2021,1,2,20,334.39,-1.97,96.19,3.23,-2.69,2.91,95.71,-2.33,6.74,-6.08,0.03
2021,1,2,21,333.22,-2.17,96.69,3.23,-2.85,2.93,95.72,-2.51,6.5,-5.8,0.04
2021,1,2,22,332.72,-2.2,96.69,3.23,-2.87,2.94,95.73,-2.53,6.41,-5.7,0.04
2021,1,2,23,332.83,-2.14,96.56,3.23,-2.82,2.86,95.74,-2.48,6.26,-5.57,0.04
2021,1,3,0,333.18,-2.12,96.62,3.23,-2.8,2.79,95.73,-2.46,6.18,-5.52,0.04
2021,1,3,1,335.66,-2.17,96.69,3.23,-2.85,2.52,95.72,-2.51,6.12,-5.58,0.03
2021,1,3,2,338.16,-2.3,96.94,3.17,-2.95,2.26,95.71,-2.63,6.07,-5.63,0.02
2021,1,3,3,338.23,-2.45,97.12,3.17,-3.08,2.19,95.69,-2.76,5.9,-5.48,0.02
2021,1,3,4,337.4,-2.55,97.19,3.11,-3.18,2.17,95.7,-2.86,5.65,-5.22,0.02
2021,1,3,5,335.98,-2.64,97.38,3.11,-3.27,2.18,95.72,-2.95,5.35,-4.89,0.02
2021,1,3,6,335.92,-2.79,97.62,3.05,-3.39,2.07,95.75,-3.09,5.07,-4.63,0.02
2021,1,3,7,334.74,-2.92,97.81,3.05,-3.51,2.02,95.78,-3.22,4.74,-4.29,0.01
2021,1,3,8,334.48,-2.1,95.56,3.17,-2.92,2.16,95.82,-2.52,5.0,-4.52,0.01
2021,1,3,9,343.89,-0.8,89.5,3.36,-2.35,1.6,95.84,-1.58,5.77,-5.55,0.02
2021,1,3,10,348.71,-0.02,84.19,3.36,-2.32,1.11,95.86,-1.17,5.66,-5.55,0.06
2021,1,3,11,348.52,0.26,82.94,3.36,-2.25,1.03,95.83,-1.0,5.18,-5.08,0.09
2021,1,3,12,345.0,0.23,83.62,3.36,-2.17,1.2,95.82,-0.97,4.62,-4.46,0.11
2021,1,3,13,340.01,-0.01,85.94,3.42,-2.04,1.37,95.85,-1.02,4.0,-3.76,0.12
2021,1,3,14,334.1,-0.5,90.38,3.42,-1.91,1.44,95.89,-1.2,3.29,-2.96,0.11
2021,1,3,15,331.91,-1.42,95.12,3.36,-2.23,1.23,95.91,-1.82,2.62,-2.31,0.08
2021,1,3,16,334.35,-2.31,98.06,3.23,-2.81,1.04,95.93,-2.56,2.4,-2.16,0.05
2021,1,3,17,338.06,-2.52,98.62,3.17,-2.96,0.91,95.94,-2.74,2.43,-2.25,0.02
2021,1,3,18,341.57,-2.7,99.12,3.17,-3.08,0.77,95.95,-2.88,2.45,-2.32,0.01
2021,1,3,19,343.93,-2.97,99.88,3.11,-3.28,0.7,95.96,-3.13,2.51,-2.41,0.0
2021,1,3,20,347.71,-3.28,100.0,3.05,-3.56,0.55,95.96,-3.42,2.61,-2.55,0.0
2021,1,3,21,349.86,-3.46,100.0,2.99,-3.8,0.46,95.96,-3.63,2.62,-2.58,0.0
2021,1,3,22,351.02,-3.83,100.0,2.93,-4.02,0.38,95.95,-3.93,2.45,-2.42,0.0
2021,1,3,23,349.58,-4.1,100.0,2.87,-4.29,0.43,95.93,-4.2,2.38,-2.34,0.0
2021,1,4,0,348.13,-4.26,100.0,2.81,-4.53,0.48,95.91,-4.39,2.36,-2.3,0.0
2021,1,4,1,348.05,-4.37,100.0,2.75,-4.72,0.51,95.89,-4.54,2.45,-2.4,0.0
2021,1,4,2,344.91,-4.52,100.0,2.75,-4.9,0.67,95.87,-4.71,2.58,-2.49,0.0
2021,1,4,3,341.57,-4.58,99.94,2.69,-5.02,0.8,95.84,-4.8,2.52,-2.39,0.0
2021,1,4,4,339.86,-4.6,99.75,2.69,-5.06,0.86,95.82,-4.84,2.5,-2.34,0.0
2021,1,4,5,336.07,-4.58,99.38,2.69,-5.08,1.11,95.82,-4.83,2.74,-2.5,0.0
2021,1,4,6,332.08,-4.6,99.06,2.69,-5.15,1.38,95.81,-4.88,2.95,-2.61,0.0
2021,1,4,7,327.87,-4.49,98.19,2.69,-5.14,1.65,95.8,-4.81,3.1,-2.62,0.0
2021,1,4,8,323.8,-3.17,94.38,2.87,-4.24,1.81,95.81,-3.7,3.07,-2.48,0.01
2021,1,4,9,327.66,-1.72,89.94,3.11,-3.3,1.88,95.81,-2.51,3.5,-2.96,0.02
2021,1,4,10,333.38,-1.15,88.19,3.17,-2.93,1.69,95.8,-2.04,3.77,-3.37,0.06
2021,1,4,11,336.63,-0.88,88.0,3.23,-2.66,1.52,95.75,-1.77,3.82,-3.51,0.12
2021,1,4,12,339.44,-0.77,88.69,3.3,-2.45,1.43,95.7,-1.61,4.07,-3.81,0.14
2021,1,4,13,340.54,-0.87,90.38,3.36,-2.3,1.43,95.67,-1.59,4.29,-4.05,0.13
2021,1,4,14,341.43,-1.13,92.5,3.36,-2.29,1.37,95.67,-1.71,4.29,-4.07,0.11
2021,1,4,15,337.49,-1.6,95.62,3.36,-2.36,1.4,95.66,-1.98,3.65,-3.38,0.12
2021,1,4,16,333.19,-2.25,97.75,3.23,-2.79,1.49,95.67,-2.52,3.31,-2.95,0.13
2021,1,4,17,330.88,-2.49,97.94,3.17,-3.02,1.68,95.66,-2.75,3.45,-3.02,0.15
2021,1,4,18,328.41,-2.62,98.0,3.11,-3.15,1.73,95.67,-2.88,3.31,-2.82,0.16
2021,1,4,19,326.59,-2.74,98.0,3.11,-3.27,1.7,95.68,-3.01,3.08,-2.57,0.13
2021,1,4,20,324.09,-2.82,98.19,3.11,-3.35,1.64,95.69,-3.09,2.8,-2.27,0.1
2021,1,4,21,321.85,-2.88,98.38,3.05,-3.4,1.52,95.71,-3.14,2.45,-1.93,0.09
2021,1,4,22,320.98,-2.91,98.5,3.05,-3.41,1.34,95.75,-3.16,2.12,-1.65,0.07
2021,1,4,23,323.96,-2.93,98.56,3.05,-3.42,1.15,95.77,-3.17,1.95,-1.58,0.04
2021,1,5,0,332.75,-2.94,98.69,3.05,-3.41,0.8,95.79,-3.17,1.76,-1.56,0.02
2021,1,5,1,345.23,-2.99,98.81,3.05,-3.45,0.41,95.81,-3.21,1.62,-1.57,0.01
2021,1,5,2,351.91,-3.15,99.12,3.05,-3.59,0.23,95.82,-3.37,1.67,-1.65,0.01
2021,1,5,3,353.66,-3.39,99.81,2.99,-3.76,0.17,95.81,-3.58,1.56,-1.55,0.0
2021,1,5,4,354.6,-3.77,100.0,2.93,-3.97,0.13,95.81,-3.87,1.41,-1.41,0.0
2021,1,5,5,356.86,-4.05,100.0,2.87,-4.16,0.08,95.84,-4.1,1.42,-1.42,0.0
2021,1,5,6,355.54,-4.33,100.0,2.81,-4.42,0.13,95.85,-4.37,1.71,-1.7,0.0
2021,1,5,7,354.72,-4.32,100.0,2.81,-4.54,0.17,95.88,-4.43,1.87,-1.86,0.0
2021,1,5,8,352.52,-2.98,95.81,2.99,-3.84,0.27,95.92,-3.41,2.04,-2.02,0.0
2021,1,5,9,348.69,-1.03,87.62,3.17,-2.88,0.53,95.94,-1.96,2.71,-2.66,0.0
2021,1,5,10,347.37,0.05,82.19,3.3,-2.56,0.64,95.95,-1.25,2.93,-2.86,0.0
2021,1,5,11,346.32,0.5,81.06,3.36,-2.32,0.71,95.91,-0.91,3.01,-2.92,0.0
2021,1,5,12,348.05,0.6,81.44,3.36,-2.15,0.65,95.88,-0.77,3.13,-3.06,0.0
2021,1,5,13,351.59,0.47,82.75,3.42,-2.06,0.49,95.87,-0.8,3.36,-3.33,0.01
2021,1,5,14,353.83,0.08,86.19,3.42,-1.92,0.34,95.87,-0.92,3.2,-3.18,0.01
2021,1,5,15,353.79,-0.99,92.69,3.42,-2.11,0.25,95.89,-1.55,2.31,-2.3,0.01
2021,1,5,16,351.04,-2.13,95.75,3.17,-2.91,0.37,95.92,-2.52,2.36,-2.33,0.01
2021,1,5,17,345.45,-2.34,96.06,3.11,-3.1,0.69,95.95,-2.72,2.74,-2.65,0.01
2021,1,5,18,339.02,-2.51,96.31,3.11,-3.26,1.12,95.97,-2.88,3.12,-2.91,0.0
2021,1,5,19,333.56,-2.99,97.44,2.99,-3.62,1.41,95.98,-3.3,3.16,-2.83,0.0
2021,1,5,20,328.6,-3.42,98.38,2.93,-3.96,1.64,95.99,-3.69,3.15,-2.69,0.0
2021,1,5,21,325.96,-3.72,98.75,2.87,-4.24,1.77,96.0,-3.98,3.17,-2.62,0.0
2021,1,5,22,325.38,-3.92,98.81,2.81,-4.43,1.83,96.01,-4.17,3.22,-2.65,0.0
2021,1,5,23,325.23,-3.94,98.62,2.81,-4.49,1.83,96.0,-4.21,3.21,-2.63,0.0
2021,1,6,0,325.92,-3.86,98.31,2.81,-4.45,1.78,95.99,-4.16,3.18,-2.63,0.0
2021,1,6,1,329.28,-3.76,97.88,2.81,-4.39,1.6,95.99,-4.07,3.14,-2.7,0.01
2021,1,6,2,329.68,-3.77,98.25,2.87,-4.37,1.51,95.99,-4.07,2.99,-2.58,0.01
2021,1,6,3,328.2,-3.86,98.75,2.87,-4.38,1.55,95.98,-4.13,2.95,-2.51,0.0
2021,1,6,4,326.22,-4.0,99.44,2.81,-4.45,1.59,95.99,-4.23,2.87,-2.38,0.0
2021,1,6,5,325.54,-4.17,100.0,2.81,-4.55,1.55,96.02,-4.36,2.75,-2.27,0.0
2021,1,6,6,327.78,-4.3,100.0,2.81,-4.63,1.4,96.07,-4.46,2.62,-2.22,0.0
2021,1,6,7,331.03,-4.23,100.0,2.81,-4.61,1.25,96.13,-4.42,2.58,-2.26,0.0
2021,1,6,8,335.56,-2.89,95.06,2.93,-3.85,1.13,96.2,-3.37,2.74,-2.49,0.0
2021,1,6,9,346.99,-0.97,84.25,3.05,-3.34,0.74,96.23,-2.16,3.3,-3.21,0.0
2021,1,6,10,350.67,-0.2,77.81,3.05,-3.52,0.52,96.25,-1.86,3.23,-3.19,0.0
2021,1,6,11,350.21,0.19,75.56,3.05,-3.52,0.53,96.23,-1.67,3.12,-3.08,0.01
2021,1,6,12,350.42,0.36,75.19,3.05,-3.42,0.52,96.21,-1.53,3.15,-3.1,0.01
2021,1,6,13,351.63,0.34,75.88,3.05,-3.32,0.46,96.2,-1.49,3.17,-3.13,0.0
2021,1,6,14,352.64,-0.0,79.19,3.11,-3.1,0.37,96.22,-1.55,2.87,-2.84,0.0
2021,1,6,15,351.19,-1.47,88.38,3.11,-3.26,0.31,96.25,-2.37,2.04,-2.02,0.0
2021,1,6,16,349.36,-3.23,90.56,2.75,-4.8,0.41,96.27,-4.01,2.24,-2.2,0.0
2021,1,6,17,346.86,-3.95,91.56,2.62,-5.42,0.52,96.29,-4.69,2.3,-2.24,0.0
2021,1,6,18,345.08,-4.49,93.31,2.5,-5.77,0.6,96.33,-5.13,2.34,-2.26,0.0
2021,1,6,19,344.37,-4.99,95.75,2.5,-5.98,0.64,96.34,-5.49,2.38,-2.29,0.0
2021,1,6,20,345.15,-5.4,97.81,2.44,-6.13,0.62,96.36,-5.77,2.41,-2.33,0.0
2021,1,6,21,345.2,-5.7,99.81,2.44,-6.2,0.62,96.36,-5.95,2.42,-2.34,0.0
2021,1,6,22,345.06,-5.95,100.0,2.44,-6.2,0.62,96.36,-6.08,2.39,-2.31,0.0
2021,1,6,23,344.48,-6.13,100.0,2.44,-6.13,0.62,96.36,-6.13,2.34,-2.25,0.0
2021,1,7,0,342.93,-6.31,100.0,2.44,-6.06,0.67,96.37,-6.19,2.29,-2.19,0.0
2021,1,7,1,340.73,-6.38,100.0,2.5,-6.0,0.73,96.38,-6.19,2.2,-2.08,0.0
2021,1,7,2,337.86,-6.26,100.0,2.5,-6.02,0.92,96.38,-6.13,2.45,-2.27,0.0
2021,1,7,3,336.44,-6.13,100.0,2.5,-6.03,0.98,96.35,-6.08,2.46,-2.26,0.0
2021,1,7,4,331.43,-5.98,100.0,2.44,-6.1,1.24,96.33,-6.04,2.6,-2.28,0.0
2021,1,7,5,326.54,-5.85,100.0,2.44,-6.16,1.49,96.33,-6.0,2.71,-2.26,0.0
2021,1,7,6,331.27,-5.56,100.0,2.5,-6.01,1.42,96.34,-5.78,2.96,-2.59,0.0
2021,1,7,7,338.72,-5.2,99.56,2.56,-5.77,1.1,96.36,-5.49,3.04,-2.83,0.0
2021,1,7,8,343.97,-3.67,95.75,2.81,-4.66,0.83,96.39,-4.17,3.0,-2.88,0.0
2021,1,7,9,353.33,-1.42,89.88,3.17,-3.03,0.42,96.4,-2.23,3.63,-3.61,0.0
2021,1,7,10,3.22,0.12,84.12,3.36,-2.21,-0.22,96.4,-1.05,3.89,-3.88,0.0
2021,1,7,11,9.18,1.0,81.38,3.48,-1.79,-0.59,96.35,-0.39,3.67,-3.62,0.0
2021,1,7,12,13.0,1.39,79.62,3.48,-1.7,-0.76,96.3,-0.16,3.37,-3.28,0.0
2021,1,7,13,14.67,1.44,78.94,3.48,-1.77,-0.82,96.26,-0.17,3.24,-3.13,0.0
2021,1,7,14,11.94,1.02,82.31,3.48,-1.62,-0.6,96.25,-0.3,2.91,-2.84,0.0
2021,1,7,15,0.55,-1.38,92.12,3.23,-2.63,-0.02,96.26,-2.01,2.46,-2.46,0.0
2021,1,7,16,354.87,-3.61,99.0,2.87,-4.1,0.27,96.3,-3.85,2.97,-2.96,0.0
2021,1,7,17,352.69,-4.17,100.0,2.87,-4.28,0.38,96.32,-4.23,3.01,-2.98,0.0
2021,1,7,18,351.11,-4.58,100.0,2.87,-4.33,0.45,96.36,-4.45,2.93,-2.9,0.0
2021,1,7,19,351.82,-4.78,100.0,2.87,-4.27,0.4,96.38,-4.53,2.8,-2.77,0.0
2021,1,7,20,353.0,-4.88,100.0,2.87,-4.22,0.32,96.39,-4.55,2.63,-2.61,0.0
2021,1,7,21,353.9,-4.76,100.0,2.87,-4.22,0.26,96.4,-4.49,2.43,-2.41,0.0
2021,1,7,22,354.6,-4.31,100.0,2.87,-4.24,0.24,96.39,-4.27,2.57,-2.56,0.0
2021,1,7,23,357.02,-4.07,100.0,2.87,-4.32,0.15,96.38,-4.2,2.86,-2.85,0.0
2021,1,8,0,0.16,-4.02,100.0,2.81,-4.4,-0.01,96.38,-4.21,2.81,-2.81,0.01
2021,1,8,1,2.3,-4.01,99.44,2.81,-4.49,-0.11,96.39,-4.25,2.73,-2.73,0.01
2021,1,8,2,3.26,-4.09,98.69,2.75,-4.67,-0.16,96.39,-4.38,2.75,-2.74,0.01
2021,1,8,3,2.88,-4.2,97.75,2.75,-4.92,-0.14,96.37,-4.56,2.8,-2.8,0.01
2021,1,8,4,359.38,-4.23,96.19,2.69,-5.15,0.03,96.36,-4.69,2.88,-2.88,0.01
2021,1,8,5,357.33,-4.27,95.19,2.62,-5.35,0.14,96.37,-4.81,3.02,-3.02,0.01
2021,1,8,6,357.58,-4.39,94.88,2.62,-5.55,0.13,96.38,-4.97,3.14,-3.14,0.01
2021,1,8,7,359.2,-4.42,94.12,2.56,-5.68,0.05,96.38,-5.05,3.38,-3.38,0.01
2021,1,8,8,359.64,-3.15,90.44,2.75,-4.86,0.02,96.43,-4.01,3.75,-3.75,0.01
2021,1,8,9,358.98,-1.22,86.81,3.11,-3.27,0.08,96.46,-2.24,4.41,-4.41,0.01
2021,1,8,10,2.22,0.07,85.06,3.36,-2.12,-0.2,96.45,-1.02,5.25,-5.24,0.01
2021,1,8,11,5.86,0.8,83.12,3.48,-1.7,-0.55,96.4,-0.45,5.43,-5.41,0.01
2021,1,8,12,7.06,1.17,81.19,3.48,-1.66,-0.66,96.36,-0.24,5.34,-5.3,0.0
2021,1,8,13,7.3,1.19,80.44,3.48,-1.75,-0.67,96.33,-0.27,5.29,-5.24,0.0
2021,1,8,14,3.6,0.81,83.19,3.48,-1.68,-0.3,96.32,-0.43,4.73,-4.72,0.0
2021,1,8,15,353.47,-0.99,91.69,3.36,-2.25,0.41,96.32,-1.62,3.64,-3.62,0.0
2021,1,8,16,350.65,-2.79,98.19,3.05,-3.33,0.66,96.34,-3.06,4.04,-3.98,0.0
2021,1,8,17,352.45,-3.08,99.12,3.05,-3.51,0.58,96.35,-3.29,4.4,-4.36,0.0
2021,1,8,18,353.06,-3.68,100.0,2.93,-3.87,0.52,96.36,-3.77,4.27,-4.23,0.0
2021,1,8,19,352.21,-3.89,100.0,2.87,-4.17,0.58,96.36,-4.03,4.27,-4.23,0.0
2021,1,8,20,355.28,-3.74,99.0,2.87,-4.24,0.36,96.37,-3.99,4.37,-4.35,0.0
2021,1,8,21,352.29,-3.99,98.88,2.81,-4.53,0.52,96.38,-4.26,3.9,-3.87,0.0
2021,1,8,22,347.22,-4.44,100.0,2.75,-4.86,0.78,96.39,-4.65,3.53,-3.45,0.0
2021,1,8,23,342.89,-4.72,100.0,2.69,-5.12,0.98,96.37,-4.92,3.32,-3.17,0.0
2021,1,9,0,337.11,-5.01,100.0,2.62,-5.42,1.19,96.36,-5.21,3.05,-2.81,0.0
2021,1,9,1,331.91,-5.25,100.0,2.56,-5.67,1.3,96.38,-5.45,2.75,-2.43,0.0
2021,1,9,2,335.67,-5.28,99.38,2.5,-5.83,1.11,96.36,-5.56,2.69,-2.45,0.0
2021,1,9,3,348.78,-5.36,98.19,2.5,-6.06,0.59,96.32,-5.7,3.05,-2.99,0.0
2021,1,9,4,351.75,-5.56,97.19,2.38,-6.41,0.47,96.31,-5.99,3.27,-3.23,0.0
2021,1,9,5,349.74,-5.79,96.44,2.32,-6.74,0.59,96.33,-6.26,3.33,-3.28,0.0
2021,1,9,6,343.18,-6.09,96.19,2.26,-7.07,0.99,96.31,-6.58,3.43,-3.28,0.0
2021,1,9,7,331.11,-6.31,96.75,2.26,-7.24,1.7,96.34,-6.77,3.52,-3.09,0.0
2021,1,9,8,328.68,-5.35,92.94,2.32,-6.72,2.04,96.41,-6.03,3.92,-3.35,0.0
2021,1,9,9,332.2,-3.7,86.5,2.5,-5.88,1.96,96.44,-4.79,4.2,-3.72,0.0
2021,1,9,10,338.41,-2.31,80.5,2.62,-5.32,1.57,96.44,-3.81,4.27,-3.97,0.0
2021,1,9,11,342.08,-1.35,76.75,2.69,-4.91,1.28,96.39,-3.13,4.16,-3.96,0.0
2021,1,9,12,346.34,-0.7,73.81,2.75,-4.73,0.96,96.35,-2.71,4.07,-3.95,0.0
2021,1,9,13,348.61,-0.38,73.31,2.81,-4.48,0.83,96.34,-2.43,4.19,-4.11,0.0
2021,1,9,14,350.18,-0.67,76.31,2.87,-4.27,0.7,96.34,-2.47,4.12,-4.06,0.0
2021,1,9,15,349.33,-2.31,85.31,2.81,-4.59,0.66,96.34,-3.45,3.55,-3.48,0.0
2021,1,9,16,346.03,-4.66,98.75,2.62,-5.24,0.85,96.33,-4.95,3.53,-3.42,0.0
2021,1,9,17,344.47,-4.87,100.0,2.75,-4.82,1.07,96.34,-4.85,4.0,-3.85,0.0
2021,1,9,18,342.24,-4.12,100.0,2.81,-4.36,1.35,96.39,-4.24,4.43,-4.22,0.0
2021,1,9,19,338.32,-3.71,99.31,2.87,-4.16,1.73,96.42,-3.94,4.67,-4.34,0.0
2021,1,9,20,337.91,-3.69,98.62,2.87,-4.22,1.84,96.46,-3.95,4.88,-4.52,0.0
2021,1,9,21,332.8,-4.01,98.81,2.81,-4.53,2.16,96.48,-4.27,4.72,-4.2,0.0
2021,1,9,22,327.79,-4.28,99.0,2.75,-4.81,2.41,96.46,-4.54,4.51,-3.82,0.0
2021,1,9,23,325.67,-4.42,98.88,2.69,-4.97,2.42,96.4,-4.7,4.29,-3.55,0.0
2021,1,10,0,325.02,-4.51,98.56,2.69,-5.1,2.42,96.35,-4.8,4.22,-3.46,0.0
2021,1,10,1,327.58,-4.6,98.0,2.62,-5.26,2.37,96.37,-4.93,4.41,-3.73,0.0
2021,1,10,2,326.06,-4.85,97.88,2.56,-5.54,2.49,96.38,-5.2,4.46,-3.7,0.0
2021,1,10,3,325.19,-5.12,97.5,2.5,-5.88,2.53,96.38,-5.5,4.43,-3.64,0.0
2021,1,10,4,324.74,-5.43,97.38,2.44,-6.22,2.47,96.39,-5.82,4.28,-3.49,0.0
2021,1,10,5,324.49,-5.8,97.5,2.38,-6.58,2.53,96.42,-6.19,4.36,-3.55,0.0
2021,1,10,6,326.63,-6.27,98.0,2.26,-7.02,2.55,96.45,-6.65,4.63,-3.87,0.0
2021,1,10,7,328.32,-6.79,98.19,2.2,-7.52,2.53,96.48,-7.16,4.82,-4.1,0.0
2021,1,10,8,330.98,-6.36,95.44,2.2,-7.42,2.53,96.52,-6.89,5.22,-4.56,0.0
2021,1,10,9,333.47,-5.14,88.81,2.26,-7.02,2.29,96.55,-6.08,5.13,-4.59,0.0
2021,1,10,10,332.82,-3.49,80.31,2.38,-6.54,2.23,96.56,-5.01,4.89,-4.35,0.0
2021,1,10,11,333.31,-2.13,74.19,2.44,-6.13,2.22,96.53,-4.13,4.94,-4.41,0.0
2021,1,10,12,336.63,-1.25,70.31,2.5,-5.88,1.96,96.5,-3.57,4.94,-4.54,0.0
2021,1,10,13,340.93,-0.96,69.88,2.56,-5.67,1.6,96.49,-3.31,4.9,-4.63,0.0
2021,1,10,14,344.37,-1.26,72.81,2.56,-5.46,1.28,96.51,-3.36,4.75,-4.58,0.0
2021,1,10,15,344.63,-2.83,81.06,2.5,-5.77,1.08,96.52,-4.3,4.07,-3.92,0.0
2021,1,10,16,343.6,-5.02,92.31,2.38,-6.45,1.14,96.54,-5.74,4.04,-3.88,0.0
2021,1,10,17,344.54,-5.41,96.81,2.44,-6.27,1.22,96.56,-5.84,4.57,-4.41,0.0
2021,1,10,18,345.94,-5.8,100.0,2.44,-6.19,1.17,96.61,-5.99,4.82,-4.68,0.0
2021,1,10,19,345.71,-6.45,100.0,2.38,-6.42,1.16,96.64,-6.44,4.72,-4.57,0.0
2021,1,10,20,340.04,-7.2,100.0,2.32,-6.85,1.49,96.66,-7.03,4.37,-4.11,0.0
2021,1,10,21,330.37,-7.24,100.0,2.26,-7.21,2.2,96.69,-7.22,4.44,-3.86,0.0
2021,1,10,22,324.71,-6.99,100.0,2.2,-7.31,2.55,96.7,-7.15,4.42,-3.61,0.0
2021,1,10,23,317.42,-7.13,100.0,2.2,-7.56,2.75,96.7,-7.34,4.06,-2.99,0.0
2021,1,11,0,311.43,-7.42,100.0,2.14,-7.92,2.86,96.72,-7.67,3.81,-2.52,0.0
2021,1,11,1,310.52,-7.54,99.81,2.08,-8.1,2.85,96.76,-7.82,3.75,-2.44,0.01
2021,1,11,2,313.13,-7.71,99.62,2.01,-8.29,2.84,96.8,-8.0,3.89,-2.66,0.01
